в РГБ	На в`ыставке в РГБ м`ожно б`удетув`идеть "Санкт-Петербургские в`едомости ",где прояв`ился блест`ящийтал`антСуворина-журнал`истаи газеты "Н`овоевр`емя "влад`ельцем и ред`акторомкот`оройбыл Суворин.
во глав`е	Он был во глав`е литерат`урногохуд`ожественного`общества ,добив`ался от ценз`урыразреш`ения на постан`овки н`екоторыхпьес и ст`авилсво`и , так`ие,наприм`ер, как др`ама"Медея".
в Росс`ии	В р`амкахмеропри`ятий к 170-летию со дня рожд`енияСуворина в РГБ"кр`углыйстол ""Литерат`урноед`ело в Росс`ии " и презент`ация н`овойкн`иги "Суворин А. С.труд`ыи дни ".
на `юге	38-летний вод`ительвр`езался в друг`ойавтомоб`иль недалек`о от г`ородаЛоерах на `югеГерм`ании ,п`ослечег`о б`ыстроу`ехал .
на ф`оруме	Обсуд`итестать`ю на ф`орумеОтпр`авить по п`очте Посто`янный`адресстать`иРаспеч`ататьстать`ю 
На пол`ях	На пол`ях был`ыхсраж`ений в Новгородской `области в понед`ельниквозобнов`ятся поиск`овыераб`оты 
На пол`ях	На пол`ях был`ыхсраж`ений в Новгородской `области в понед`ельниквозобнов`ятся поиск`овыераб`оты .
в ур`очище	Как сообщ`или корреспонд`ентуРИА " Н`овости"в шт`абе Новгородской поиск`овойэкспед`иции "Дол`ина",13 сентябр`яотр`яды"Дол`ины"начн`утраб`оты в рай`оне посёлкаСутоки и в ур`очищеНадеевка , где в г`оды Вел`икойОт`ечественнойвойн`ыподраздел`ения Кр`асной`Армии вел`и ожесточённыебо`и с фаш`истами .
в раб`отах	Предполаг`ается ,что в раб`отах по п`оиску фронтовик`ов,докум`ентов,ор`ужияи боеприпасов пр`имутуч`астиеотр`яды из город`ов Вел`икийН`овгород , Коломна (Моск`овская `область ),Сольцы и Чудово (Новгородская `область ), а т`акже из новгородского посёлкаПарфино .
в ур`очище	Раб`оты у населённогоп`унктаСутоки и в ур`очищеНадеевка бойц`ы"Дол`ины"пров`одятежег`одно в теч`ение р`яда посл`еднихлет .
на пол`ях	По их оконч`ании н`айденные на пол`яхсраж`енийост`анкифронтовик`ов со вс`емип`очестями б`удутпр`еданыземл`е на новгородских в`оинскихмемори`алах ,ор`ужиевремёнвойн`ыб`удетпередано правоохранительным `органам ,боеприпасы б`удутобезвр`еженыи ликвид`ированысапёрами.
на террит`ории	Согл`аснод`анным шт`абаэкспед`иции "Дол`ина",с1988 г`одаотр`ядыэкспед`ицииобнар`ужили на пол`яхсраж`ений и перезахорон`или на в`оинскихмемори`алах б`олее 70 т`ысячфронтовик`ов ,пог`ибших на террит`ории Новгородской `области .
при защ`ите	П`оиск`овыераб`оты в реги`оне проводятся в соотв`етствии с Зак`ономРФ "Об увеков`ечениип`амяти пог`ибших при защ`итеОт`ечества ".
